Case_ID,refrence_summary ,generated_summary,ROUGE-1_Precision,ROUGE-1_Recall,ROUGE-1_F1,ROUGE-2_Precision,ROUGE-2_Recall,ROUGE-2_F1,ROUGE-L_Precision,ROUGE-L_Recall,ROUGE-L_F1
PN-NY-0014,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded
IM-NY-0053,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded
CW-NV-0001,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded
IM-CA-0104,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded
FH-DC-0009,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded
IM-DC-0090,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded
CJ-FL-0009,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded
SD-KS-0001,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded
PB-CA-0016,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded
PC-NY-0048,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded,Limit_Exceeded
