Case_ID,ROUGE-1_Precision,ROUGE-1_Recall,ROUGE-1_F1,ROUGE-2_Precision,ROUGE-2_Recall,ROUGE-2_F1,ROUGE-L_Precision,ROUGE-L_Recall,ROUGE-L_F1,Algorithm
IM-NY-0072,0.5934,0.4961,0.5404,0.1678,0.1403,0.1528,0.1622,0.1356,0.1477,BERT
DR-MO-0001,0.6302,0.4669,0.5364,0.173,0.1281,0.1472,0.1921,0.1423,0.1635,BERT
IM-CA-0108,0.5343,0.5017,0.5175,0.1373,0.1289,0.133,0.1501,0.141,0.1454,BERT
CJ-WA-0001,0.6076,0.4363,0.5079,0.2146,0.1541,0.1793,0.1914,0.1375,0.16,BERT
FH-DC-0011,0.6367,0.4212,0.507,0.1979,0.1309,0.1576,0.2148,0.1421,0.171,BERT
PB-DC-0010,0.5747,0.4479,0.5035,0.1838,0.1432,0.161,0.1714,0.1336,0.1501,BERT
DR-PA-0006,0.5953,0.4195,0.4922,0.1618,0.114,0.1338,0.1895,0.1335,0.1567,BERT
NH-MO-0001,0.6029,0.4045,0.4842,0.1848,0.124,0.1484,0.2135,0.1432,0.1714,BERT
PA-NC-0004,0.5262,0.44,0.4793,0.176,0.1472,0.1603,0.17,0.1422,0.1548,BERT
PB-MI-0026,0.6008,0.3957,0.4772,0.171,0.1126,0.1358,0.2058,0.1356,0.1635,BERT
FA-GA-0001,0.6505,0.3761,0.4766,0.1962,0.1134,0.1437,0.1986,0.1148,0.1455,BERT
PC-NJ-0026,0.5017,0.4486,0.4737,0.1164,0.1041,0.1099,0.1473,0.1317,0.139,BERT
CJ-NY-0013,0.6705,0.3637,0.4716,0.1936,0.105,0.1361,0.2392,0.1297,0.1682,BERT
PB-MA-0011,0.6316,0.3754,0.4709,0.1573,0.0934,0.1172,0.2013,0.1197,0.1501,BERT
EE-MO-0002,0.6278,0.3741,0.4688,0.165,0.0983,0.1232,0.1984,0.1182,0.1482,BERT
IM-IL-0024,0.3839,0.5663,0.4576,0.1142,0.1685,0.1362,0.1299,0.1916,0.1548,BERT
PN-IL-0009,0.6127,0.3628,0.4558,0.1706,0.1009,0.1268,0.1985,0.1176,0.1477,BERT
NS-VA-0004,0.6557,0.348,0.4547,0.1996,0.1059,0.1384,0.2164,0.1148,0.15,BERT
NS-MI-0003,0.6388,0.3512,0.4533,0.2085,0.1146,0.1479,0.2095,0.1152,0.1487,BERT
PN-CA-0023,0.5355,0.3926,0.453,0.1499,0.1099,0.1268,0.165,0.121,0.1396,BERT
