Case_ID,refrence_summary ,generated_summary,ROUGE-1_Precision,ROUGE-1_Recall,ROUGE-1_F1,ROUGE-2_Precision,ROUGE-2_Recall,ROUGE-2_F1,ROUGE-L_Precision,ROUGE-L_Recall,ROUGE-L_F1
EE-MO-0105,"On January 23, 2004, Plaintiff filed an amended complaint under Title VII of the Civil Rights Act of 1964 and the Pregnancy Discrimination Act, 42 U.S.C. § 2000e et seq. and 2000e(k), against AT&T Corporation in the United States District Court for the Western District of Missouri.  The plaintiff, represented by private counsel, was a former AT&T employee and asked the Court for declaratory and injunctive relief, as well as damages, alleging that AT&T's health insurance policy discriminated against women.  Specifically, the plaintiff contended that the defendant's health insurance plan, which did not provide prescription contraceptives (birth control) before 2002 and only through the mail after 2002, violated female employees' civil rights.

The action originally started in the U.S. District Court for the District of Kansas, but was transferred to Missouri on May 12, 2003.  This is the date on which the docket begins.  Originally, there were two plaintiffs on the case, but one dropped out of the litigation.  Thus, a single plaintiff carried forth the case.

On September 3, 2004, the Court (Judge Sachs) denied the plaintiff's motion for class certification.  In the opinion, the Court barely discussed the requirements for a class-action lawsuit, except to point out typicality.  The plaintiff, since the suit began, had stopped taking birth control and was seeking to get pregnant.  Therefore, the Court declared that a class could not be certified without a class representative who would have an ongoing interest in the prayed-for relief.  The plaintiff wanted to recover her past expenditures on the prescribed contraceptives.  The Women's Law project came onto the case as an amicus.  After a lengthy discovery period, the Court made another ruling.

On June 7, 2006, the Court (Judge Sachs) granted the plaintiff's motion for class certification as to the damages in the complaint.  The class was comprised of female employees of AT&T, who paid for their own prescription contraception from the dates of October 31, 2001 to July 2, 2002.  The Court did not certify the claims for injunctive or declaratory relief because as of 2002, the health insurance provider covered birth control through mail order. While the cost of the plaintiff's potential recovery was relatively small, $68.07, the class action potential in the litigation, given AT&T's size made both parties fight vigorously.  According to the docket, neither side was content with this decision.  The plaintiff wanted the period of time for damages claims to be extended, and the defendant did not approve of the decision at all.  Ultimately, the plaintiffs filed an appeal.  

On June 1, 2007, the United States Court of Appeals for the Eighth Circuit issued a preliminary judgment to the District Court (Judge Sachs).  The Circuit Court advised the District Court to review the findings of another recent case, In Re Union Pacific Railroad Employment Practices Litigation, 479 F.3d 936 (8th Cir. 2007).  This case featured a ruling that was fundamentally at odds with the decision of the District Court on June 7, 2006.

On October 22, 2007, the District Court (Judge Sachs) vacated its previous decision, and ordered a decision in favor of the defendant.  The case was closed the next day on October 23, 2007.

","

This case, Lund and Stocking v. AT&T Corporation, involves a class action lawsuit filed by plaintiffs Jane Lund and Susan Stocking against defendant AT&T Corporation. Stocking, who has been employed by AT&T since 1995, requested health insurance coverage for prescription contraceptives, but her request was denied. This led to her filing a charge with the Equal Employment Opportunity Commission (EEOC) and obtaining the right to sue. The complaint alleges that AT&T's exclusion of prescription contraceptives from their health plan is discriminatory and violates Title VII and the Pregnancy Discrimination Act (PDA). The proposed class includes all female employees of AT&T who have used prescription contraceptives since August of a certain year. The plaintiffs seek relief in the form of damages, equitable relief, and a permanent injunction against the discriminatory policy.

The plaintiffs are represented by attorneys from the law firms of Gunderson Sharp & Walke, LLP, Holtsclaw & Kendall, LC, and Sylvester James, Jr. The defendant is represented by attorneys from the law firms of Lathrop & Gage, L.C., Akin, Gump, Strauss, Hauer & Feld, LLP, and Akin, Gump, Strauss, Hauer & Feld, LLP",0.5806,0.1985,0.2959,0.1838,0.0626,0.0934,0.2742,0.0938,0.1397
EE-MI-0138,"In September 2003, the Detroit office of the EEOC brought this Title VII suit against Robert Bosch Corporation in the U.S. District Court for the Western District of Michigan. The complaint alleged that the defendant discriminated against the claimant by failing to provide the claimant with a reasonable accommodation and terminating him because of his religion (Seventh-day Adventist). The claimant intervened in the EEOC's suit in December 2003. The defendant filed a motion for summary judgment in December 2003, and the court granted summary judgment in favor of the defendant in October 2004. The EEOC appealed the case in December 2004, and the Sixth Circuit vacated the judgment and remanded the case in February 2006. The case went to trial in September 2006, and the jury entered a verdict in favor of the defendant in September 2006.

","

The document in question, E.E.O.C. v. Robert Bosch Corp., is a collection of court filings and orders from a case filed in 2003 by the Equal Employment Opportunity Commission (EEOC) on behalf of employee Jeff Carter against his employer, the Robert Bosch Corporation. Carter, a devout Seventh-day Adventist, was terminated from his position at the company's manufacturing plant due to conflicts between his religious beliefs and work requirements. The EEOC alleged that Bosch had violated Title VII of the Civil Rights Act by discriminating against Carter based on his religion. The defendant argued that they had made reasonable efforts to accommodate Carter, including offering to find volunteers to cover his shifts on Saturdays. However, no one volunteered and the union steward was unable to find a replacement for Carter's shifts. The EEOC argued that Bosch should have initiated formal negotiations with the union to pursue other accommodation options. The case was initially assigned to Magistrate Judge Timothy P. Greeley before being reassigned to Senior Judge Richard Alan Enslen. Throughout the proceedings, there were several motions filed by both parties, including a motion for intervention by Carter and a motion for summary judgment by Bosch. The court also held a mediation session, but it ultimately did not result in a settlement. The",0.3041,0.4714,0.3697,0.088,0.1367,0.107,0.1613,0.25,0.1961
EE-FL-0124,"On May 10, 2002, the United States filed a lawsuit under Title VII against the City of Fort Lauderdale in the U.S. District Court for the Southern District of Florida, alleging that City's Public Services Department discriminated against an employee on the basis of his race. Specifically, the United States contended that the defendant failed or refused to promote an employee to the position of Engineering Inspector because he was an African-American, and that the defendant failed or refused to take appropriate action to remedy fully the effects of the discrimination against this employee. Furthermore, the United States alleged that the City of Fort Lauderdale subjected the employee to harassment that adversely affected the terms, conditions, and privileges of his employment because he opposed the discriminatory employment practices, filed an internal complaint of discrimination with the City, and filed a charge of discrimination with the Equal Employment Opportunity Commission. The United States sought injunctive and monetary relief.

The defendant eventually promoted the employee to the position of Engineering Inspector I in September 1998, but did not receive back pay or other relief. The defendant denied the United States' allegations and further denied that it had engaged in any unlawful employment discrimination, harassment, or retaliation in violation of Title VII. 

On January 13, 2003, the plaintiffs and the defendant agreed to enter into a consent decree ordered by the district court (Judge Donald L. Graham). The City of Fort Lauderdale agreed not to engage in any act that unlawfully discriminates against any employee or potential employee because of that individual's race. The City further agreed that it would not retaliate against any person in a manner prohibited by Title VII of the Civil Rights Act of 1964 because that person made an internal complaint of discrimination; filed a charge of discrimination with the EEOC, the Florida Commission on Human Relations, or the Broward County Human Rights Division; participated in or cooperated with the initiation, investigation, litigation or administration of this settlement agreement; or provided information to the Department of Justice. Furthermore, the city of Fort Lauderdale agreed to post anti-discrimination and anti-harassment policies in a prominent and conspicuous location in City Hall and in the Department of Public Services. 

Additionally, the City agreed to arrange mandatory training for all employees. While this settlement agreement remains in effect, the city will maintain all records related to the filling of vacancies for Engineering Inspector I positions for each hiring event, application period, test administration, and phase of any test administration, and the Department of Justice can request to see them in order to monitor the city's compliance.

The docket ends on December 7, 2005 with the district court (Judge Graham) entering and order dismissing the case with prejudice.

","

This collection of documents pertains to a legal case filed by the United States Department of Justice against the City of Fort Lauderdale, Florida for alleged violations of Title VII of the Civil Rights Act of 1964. The case was brought after receiving a charge of discrimination from Elgin O. Jones, who worked for the City and was not promoted due to his race. The United States sought relief for Mr. Jones, including a jury trial, and asserted jurisdiction under various federal laws. The Equal Employment Opportunity Commission (EEOC) also investigated the case and found reasonable cause to believe the allegations were true. After attempts to resolve the charge voluntarily, the EEOC referred the case to the Department of Justice. The lawsuit claims that the City discriminated against Mr. Jones based on his race and in retaliation for opposing discriminatory practices. The City is accused of being a person and employer within the meaning of Title VII. The United States sought an injunction to prevent the City from continuing with discriminatory practices and damages for Mr. Jones. 

The documents also reveal that the Defendant, the City of Fort Lauderdale, agreed to settle the case and implement measures to ensure equal employment opportunities for all candidates in the future. The settlement agreement included provisions for mandatory training for all employees on antidiscrimination and",0.6532,0.3139,0.424,0.2941,0.141,0.1906,0.3198,0.1537,0.2076
DR-TX-0003,"On April 25, 2016, three individuals that were blind and enrolled in the Barbri bar exam preparation course filed this putative class action lawsuit in the U.S. District Court for the Northern District of Texas. The plaintiffs brought this suit against BarBri Inc., aka Barbri Bar Review, a company that sells and provides products for bar exam preparation. The plaintiffs alleged that Barbri violated the American with Disabilities Act (ADA) (42 U.S.C. §§ 12111 et seq.) and the Texas Human Resource Code §§ 121.002-.003. The plaintiffs, represented by Texas Civil Rights Project and Washington Lawyers’ Committee for Civil Rights/Urban Affairs, sought injunctive, monetary, and declaratory relief as well as attorneys’ fees and costs. This case was assigned to Magistrate Judge Renee Harris Toliver.

The three plaintiffs were all enrolled in the Barbri bar preparation course and relied on Barbri to prepare for the bar examination. The Barbri bar preparation course provided online bar review resources including online live chat to match Barbri students with tutors, an online planner, study outlines, online lecture notes, and online lecture videos. The website, however, was not compatible with the software that the plaintiffs relied on to access the internet, like Job Access With Speech (“JAWS”) screen readers. The plaintiffs requested reasonable accommodation, but BarBri did not provide them. 

On July 1, 2016, the defendant moved to dismiss the lawsuit for lack of jurisdiction and failure to state a claim. The plaintiff amended their complaint on July 19, 2016. This new complaint added more factual allegations and slightly modified the definition of the sought class. The amended class definition was as follows: “All legally blind individuals nationwide who, on or after April 25, 2014, took, plan to take or attempted to take a Barbri bar review course at a time when Barbri’s website, mobile application, or other course materials was or is not fully accessible to legally blind students, or who have   been discouraged from taking the Barbri bar review course due to such inaccessibility.” 

The defendant again moved to dismiss the lawsuit for lack of jurisdiction and failure to state a claim on October 3, 2016. The plaintiffs moved to certify a class on February 10, 2017. The court never ruled on this motion.

In October 2017, the parties underwent settlement discussions. Eventually the parties reached a confidential Settlement Agreement. Then on January 19, 2018, the parties jointly moved for a stipulation of dismissal and sought approval of a consent decree.

Three days later, the court approved the parties’ consent decree. The parties agreed that the court would retain jurisdiction for three years to ensure compliance with this decree. The consent decree prohibited the defendant from engaging in disability discrimination, required the defendant to comply with the ADA, and required the defendant to undergo an accessibility audit to ensure that all accessibility barriers for screen readers were removed. The defendant also agreed to provide accessibility training to all development team employees and to reform its procedures for implementing reasonable accommodations when students request accommodations.

The consent decree remains in force as of May 2020. 
","

The document at hand is a comprehensive summary of the legal case filed by plaintiffs Claire Stanley, Abigail Hill Frank, Derek Manners, and Christopher Stewart against defendants Barbri Inc, William A. Adams, Michael Sims, and The Sims Group in the U.S. District Court for the Northern District of Texas. The plaintiffs, represented by attorneys Hani Mirza and Joseph M Sellers from the Texas Civil Rights Project and Texas Legal Services Center, claimed violations of the Americans with Disabilities Act (ADA) by the defendants. The case revolved around the alleged failure of Barbri, a company that provides bar exam preparation services, to make their services accessible to blind students, hindering them from fully preparing for the bar exam. The plaintiffs sought an order requiring Barbri to provide accommodations for blind students and compensation for past and future students who were unable to access their services. The defendants were represented by attorneys Deepa Goraya, Kristian L Hinson, Leah M Watson, Margaret Hart, Matthew Handley, Shaylyn C Cochran, and Wayne Krause Yang. The case was assigned to Magistrate Judge Renee Harris Toliver and demanded a jury trial. After several motions and proceedings, including extensions of time, admission pro hac vice for attorneys, and a protective order,",0.6275,0.2485,0.3561,0.2562,0.1012,0.145,0.2843,0.1126,0.1613
EE-GA-0095,"In March 2001, the EEOC district office in Atlanta, Georgia brought this suit against Wren Chevrolet, Inc., a regional automobile dealership, in the U.S. District Court for the Southern District of Georgia.  The complaint states that two female employees were regularly subjected to sexual harassment and retaliated against when they complained, all in violation of Title VII of the Civil Rights Act of 1964.  The case was quickly disposed of, with a consent decree being entered in June 2001.  

In the consent decree, the parties agreed that the defendant would pay the aggrieved women $75,000 each, refrain from retaliating or discriminating in the basis of sex, post EEO notices, provide EEO training, make semiannual reports to the EEOC, have the alleged harassers read the consent decree, issue neutral reference letters, implement an anti-discrimination policy, and appoint a compliance official.  No fees or costs were awarded.  The terms of the agreement ran for two years.

","

This document, titled ""Consent Decree between WREN and EEOC,"" outlines the terms and conditions agreed upon by the Equal Employment Opportunity Commission (EEOC) and WREN Chevrolet, Inc. following the resolution of EEOC Charge Numbers 110980856 and 110980914, as well as the investigation of these charges and the pending lawsuit. The plaintiffs, Brooke Hughes and Angela Walden, filed a complaint against WREN Chevrolet, a company in Wrens, Georgia, for alleged violations of Title VII of the Civil Rights Act of 1964 and the Civil Rights Act of 1991. The lawsuit claimed that WREN subjected the two employees to sexual harassment and discriminatory terms and conditions of employment, including a hostile work environment. The EEOC sought relief for the employees, including back pay, compensatory and punitive damages, and injunctive and affirmative relief. The case was brought to court by attorneys from both the EEOC and WREN, and after various court proceedings, a Consent Decree was reached and approved by the court. The Decree required WREN to refrain from discriminatory practices and to provide equal employment opportunities for members of the protected group. WREN was also required to pay a total of $150,000 in",0.3802,0.465,0.4183,0.1414,0.1731,0.1556,0.2031,0.2484,0.2235
JI-OH-0011,"On November 23, 2014, two African-American teenage males filed a lawsuit in the United States District Court for the Southern District of Ohio under 42 U.S.C. §1983 against the Hamilton County Juvenile Detention Center and Hamilton County, Ohio. The plaintiffs, represented by public interest counsel, sought preliminary and permanent injunctive relief. They requested that the Court enjoin the Juvenile Court from arresting and detaining youth without conducting a probable cause hearing. The plaintiffs claimed that the detention of youth after 48 hours without providing a probable cause hearing violates their right to due process under the Fourteenth Amendment.

The first plaintiff was arrested at school on September 12, 2014, on a charge of aggravated robbery. Based on the victim's description, a warrant was issued, and the plaintiff was taken into custody at the Hamilton County Detention Center. He was in isolation for two days. The Juvenile Court did not make a probable cause determination prior to issuing a warrant for the first plaintiff, nor within 48 hours of detention. The case was continued on October 6, 2014, for a probable cause hearing, which never happened. S.W. had a trial on October 10, 2014, where the case was dismissed on the merits. Although S.W. was released, he never received a probable cause hearing at arrest or during his detention. 

The second plaintiff was arrested outside his home on July 8, 2014, by Cincinnati police officers, who did not present an arrest warrant. He was taken to the local police station, interrogated for alleged involvement in a robbery, and taken to the Hamilton County Detention Center on July 9, 2014. He remained incarcerated at the Detention Center from July 8 to July 23, during which time no probable cause determinations in his case occurred. 

On December 10, 2014, the plaintiffs filed a motion for a preliminary injunction. Although a preliminary injunction hearing was scheduled for March 24, 2015, the parties began settlement negotiations in February 2015 and the hearing was changed to a status conference on settlement progress.

On September 29, 2015, the parties reached an agreement and Judge Susan Dlott approved and adopted an agreed order of dismissal without prejudice. The Hamilton County Juvenile Court agreed to plan, design, and implement a best practice model for processing complaints, issuing arrest warrants, making probable cause determinations, and conducting detention hearings. This included revisions to Rule 38 of the Rules of Practice for Hamilton County Juvenile Court. Additionally, the juvenile court agreed create a new training curriculum to assist clerks in making probable cause determinations. The Hamilton County Prosecuting Attorney also agreed to assign an assistant prosecuting attorney to attend detention hearings at the Youth Center.
The case is presumably closed.","

This document is a part of the case 1:14-cv-00896-SJD, filed on October 1st, 2015 in the United States District Court for the Southern District of Ohio, Western Division. It revolves around a civil rights lawsuit filed by the plaintiffs, Pamela Matthews and Nefertteria Dawson, on behalf of themselves and other juveniles in similar situations, against the Hamilton County Juvenile Court and Detention Center in Ohio. The defendants, John M. Williams, Dwayne R. Bowman, and the Hamilton County Board of Commissioners, are responsible for creating and enforcing policies for the juvenile court and detention center. The plaintiffs allege that these policies have resulted in a disproportionate number of African-American children being arrested and detained compared to their white counterparts, violating their constitutional rights and the Civil Rights Act of 1983. They seek declaratory and injunctive relief to prohibit the issuance of arrest warrants and detention of children without a judicial determination of probable cause. The attorneys involved in the case include David Todd Stevenson and Michael J. Friedmann representing the defendants from the Hamilton County Prosecutor's Office, and Jennifer M. Kinsley, Kimberly Brooks Tandy, and Rickell LaShea Howard representing the plaintiffs. The court proceedings, which",0.585,0.2577,0.3578,0.2362,0.1038,0.1442,0.305,0.1344,0.1865
PB-DC-0011,"On April 13, 2018, the Arab American Institute (“AAI”) sued the Office of Management and Budget (“OMB”) under the Freedom of Information Act (“FOIA”), 5 U.S.C. § 552, in the U.S. District Court for the District of Columbia. AAI alleged that OMB violated FOIA by failing to disclose requested records pertaining to OMB’s decision not to include a combined race and ethnicity question or a Middle Eastern or North African (MENA) category on the 2020 Census. AAI asked the court to declare that OMB violated FOIA and to issue an injunction ordering the agency to release the requested records. This case was assigned to Judge Amy Berman Jackson. 

One month later, on May 18, 2018, the court ordered OMB to file a dispositive motion or a status report setting a schedule for OMB’s production of documents to AAI. OMB chose the latter, filing its first status report on June 15, 2018. Over the next two years, the parties filed several joint status reports detailing which documents OMB had disclosed to AAI and which documents were still outstanding or disputed. By May 13, 2020, OMB had reviewed approximately 2,000 potentially responsive documents, producing “a number” of them to AAI and withholding 161 of them, claiming they were FOIA exempt. AAI objected to the withholding of five of the allegedly exempt documents.

OMB filed a motion for summary judgment on February 10, 2020, arguing that the five disputed documents were exempt under FOIA Exemption 5, which allows agencies to withhold “inter-agency or intra-agency memorandums or letters that would not be available by law to a party other than an agency in litigation with the agency,” including “predecisional and deliberative” documents that reflect internal Executive Branch deliberations. AAI filed a cross-motion for summary judgment on March 12, 2020, arguing that OMB had not provided a sufficient basis for exempting the documents and that the exemption didn’t apply because the documents were not “predecisional.” On August 13, 2020, after conducting in camera review, the court granted OMB’s motion for summary judgment and denied AAI’s cross-motion, finding that the disputed documents were predecisional and exempt from FOIA. 2020 WL 4698098. 

As of December 25, 2020, AAI has not appealed the court’s decision. ","

This document details a legal case between the National Security Archive and the Central Intelligence Agency (CIA) over a request for records under the Freedom of Information Act (FOIA). The National Security Archive, a non-profit organization dedicated to promoting government transparency, filed a complaint against the CIA for withholding draft documents related to the government's decision on whether to include a separate category for ethnicity in the 2020 Census. The CIA argued that these documents were protected under FOIA Exemption 5, which allows for the withholding of certain information. The case was assigned to Judge Amy Berman Jackson and no jury was demanded. The National Security Archive was represented by attorneys from their organization, while the CIA was represented by attorneys from the Department of Justice. The complaint alleged that the CIA's withholding of the documents was in violation of FOIA and requested a declaration that the documents were subject to FOIA and an order for their release. The court ordered for an in-camera review of the remaining documents to determine if the exemption applied. Both parties filed cross-motions for summary judgment, with the National Security Archive providing evidence of the CIA's failure to respond to their FOIA request and the CIA providing detailed affidavits to support their argument for exemption. Ultimately, the court ruled in favor of",0.625,0.3684,0.4636,0.2466,0.1451,0.1827,0.2991,0.1763,0.2219
PC-SD-0001,"On March 7, 1980, inmates of the South Dakota State Penitentiary in Sioux Falls, South Dakota filed a class action in the U.S. District Court for the District of South Dakota under 42 U.S.C. § 1983 against the South Dakota Department of Corrections. The plaintiffs, represented by the National Prison Project of the American Civil Liberties Union and by East River Legal Services, asked the court for class certification and declaratory and injunctive relief, alleging that their constitutional rights had been violated by the conditions of their confinement. Specifically, they complained of fire hazards, unsanitary food, work safety hazards, poor ventilation, inadequate plumbing, inadequate medical care, inadequate dental care, inadequate psychological care, overcrowding, lack of hot water, lack of heat in winter, inadequate law library, lack of recreation and exercise, and inadequate grievance procedures.

On May 31, 1984, the district court (Judge Donald J. Porter) granted declaratory and injunctive relief to the plaintiffs, ordering the defendants stop double-celling inmates and to file a plan to fix the other problems within 120 days. Cody v. Hilliard, 599 F.Supp. 1025 (D.S.D. 1984). The defendants appealed. On October 28, 1986, the U.S. Court of Appeals for the Eighth Circuit (Judge Gerald W. Heaney) affirmed the district court's decision. Cody v. Hilliard, 799 F.2d 447 (8th Cir. 1986).  

The defendants asked the Eighth Circuit for a rehearing en banc, and on October 28, 1986, the Eighth Circuit agreed to rehear the case. Cody v. Hilliard, 804 F.2d 440 (8th Cir. 1986). On October 6, 1987, the en banc Eighth Circuit (Judge Pasco Middleton Bowman II) reversed the district court's order forbidding double-celling, declaring that the practice was not unconstitutional, but affirmed all other orders of the district court. Cody v. Hilliard, 830 F.2d 912 (8th Cir. 1987). The plaintiffs appealed. On February 29, 1988, the U.S. Supreme Court declined to hear the appeal. Cody v. Hilliard, 485 U.S. 906 (1988).

On July 8, 1985, the district court (Judge Porter) issued a consent decree in the case, addressing issues such as prison environmental concerns, fire safety, medical care, psychological care, prisoners' access to courts, and food preparation and sanitation.  In the years that followed, the defendants paid attorneys' fees to the plaintiffs on multiple occasions, never disputing the plaintiffs' entitlement to fees.  

On April 16, 1996, the defendants asked the district court to terminate the consent decree, arguing that they were in substantial compliance. On March 13, 1997, the district court (Judge Richard H. Battey) dissolved the consent decree and vacated all supplemental orders. The plaintiffs appealed. On March 27, 1998, the Eighth Circuit (Judge John R. Gibson) reversed the decision to dissolve the decree and remanded the case back to the district court, holding that the dissolution of the decree was not supported by sufficient findings or an articulation of basis for the decision. Cody v. Hilliard, 139 F.3d 1197 (8th Cir. 1998). 

On February 17, 2000, the district court (Judge Lawrence L. Piersol) approved a private settlement agreement between the parties and dismissed the case without prejudice. Cody v. Hilliard, 88 F.Supp.2d 1049 (D.S.D. 2000). According to Jude Piersol’s opinion, the settlement agreement contained more specific language and guidelines than the 1985 consent decree and established procedures for continued monitoring of prison conditions. The defendants agreed to monthly self-inspections for fire safety and yearly OSHA-type inspections of all shop areas. The settlement agreement provided more relief with regards to the tuberculosis isolation provision, quality control provision, and specific shop provisions.

The plaintiffs asked the district court to award them attorneys' fees.  On November 15, 2000, the district court (Judge Piersol) awarded $106,877.74 in attorneys' fees to the plaintiffs. The defendants appealed. On September 11, 2002, the Eighth Circuit (Judge Gibson) affirmed the fee award. Cody v. Hilliard, 304 F.3d 767 (8th Cir. 2002). The case is now closed.","

The document at hand is a comprehensive summary of the case of William R. Cody v. Carole Hillard et al., a class action lawsuit filed in the United States District Court, District of South Dakota, Southern Division. The plaintiffs, represented by class counsel, William R. Cody and several other inmates, sued the defendants, including the president of the Board of Charities and Corrections and the warden of the South Dakota State Penitentiary, for violations of the Eighth and Fourteenth Amendments to the Constitution. They alleged that the living conditions and medical care at the penitentiary were unconstitutional. The lawsuit, filed under 42 U.S.C. § 1983, challenged various conditions of confinement, including fire safety, housing, food storage, vocational programs, healthcare, and legal access.

In 1985, a partial Consent Decree was entered, with the defendants agreeing to make improvements to address the issues raised by the plaintiffs. In 2000, a final Settlement Agreement was reached, and the class action was dismissed without prejudice. However, in 1999, the plaintiffs filed a motion for further enforcement of the Consent Decree, and the case was reassigned to a new judge. The Settlement Agreement was proposed, and after some objections and",0.6735,0.1997,0.3081,0.2564,0.0758,0.117,0.3571,0.1059,0.1634
EE-LA-0061,"In September 2004, the New Orleans District Office of the EEOC filed this suit against Nelson Tree Services in the U.S. District Court for the Western District of Louisiana, alleging that the defendant violated Title VII of the Civil Rights Act of 1964 by subjecting the charging party, a male employee, to a sexually hostile work environment.  Specifically, the charging party was subjected to sexual harassment by his male supervisor including requests for sexual favors, unwelcome sexual comments, and unwanted touching.  After some discovery disputes, the parties settled through a consent decree in April 2006.  

The terms of the agreement were to run for 2 years. The docket sheet does not show any further enforcement took place; the case was presumably closed in 2008.","

The document in question is a comprehensive Consent Decree between the Equal Employment Opportunity Commission (EEOC) and Nelson Tree Services, Inc. The EEOC filed a lawsuit against the company for discrimination against an employee, Timothy Wayne Tims, based on his sex. The EEOC alleged that Tims was sexually harassed by his male supervisor and sought relief for the harm caused under Title VII of the Civil Rights Act of 1964 and Title I of the Civil Rights Act of 1991. The EEOC had jurisdiction and venue in the Western District of Louisiana. The defendant, Nelson Tree Service, Inc., had a minimum of fifteen employees and was based in Louisiana. Mr. Tims filed a charge with the EEOC before filing the lawsuit. The EEOC alleged that Nelson Tree Service engaged in unlawful employment practices, including sexual harassment, at various job sites in Louisiana. The individual who harassed Mr. Tims was considered an ""agent"" of the defendant under Title VII. The plaintiff claimed that the defendant's actions deprived him of equal employment opportunities and adversely affected his status as an employee because of his sex. The EEOC sought relief from the court, including a permanent injunction to stop discrimination, implementation of equal employment opportunities, and compensation for",0.3107,0.512,0.3867,0.1415,0.2339,0.1763,0.165,0.272,0.2054
EE-MI-0149,"In May 2006, the EEOC's Detroit office filed this suit in the U.S. District Court for the Eastern District of Michigan against Shefenacker Vision Systems USA, Inc. alleging violations of the Age Discrimination in Employment Act (ADEA).  The EEOC alleged that the defendant had fired a woman during a reduction-in-force event solely because she was sixty years old.  The parties came to an agreement in the form of a consent decree in November 2006, which was adopted by the court.  The decree ordered the defendant to pay the complainant $28,500 in monetary relief and enjoined the defendant from discriminating or retaliating in the future.  Further, the defendant was ordered to institute an ADEA training program for its supervisors and managers, post a notice of equal employment rights in its place of business and provide the EEOC with reports on each incidence of discrimination based on race and all remedial action taken.

The decree was entered in 2006 and scheduled to last 2007. No further docket entries exist, so the case is closed.","

This document is a civil complaint filed by the Equal Employment Opportunity Commission (EEOC) against Schefenacker Vision Systems USA, Incorporated, a Michigan-based corporation. The complaint alleges that the defendant unlawfully terminated the employment of Janet Nedrow, a former employee, on the basis of her age, in violation of the Age Discrimination in Employment Act (ADEA). The EEOC, as the agency responsible for enforcing the ADEA, brings this action to correct the discriminatory practices and seeks to make Nedrow whole. The complaint states that the EEOC attempted to resolve the issue through informal methods, but was unsuccessful. In response, Schefenacker Vision Systems USA, Incorporated denies all allegations of discrimination and asserts that the termination was not based on age or any other discriminatory factor. The plaintiff seeks a permanent injunction to prevent further discrimination, as well as affirmative relief for Nedrow including reinstatement, back pay, and liquidated damages. The EEOC is represented by attorney Dale R. Price, Jr. on behalf of the plaintiff, while Jennifer H. Gonzalez is representing Schefenacker Vision Systems USA, Incorporated. The court set an initial scheduling conference and ordered disclosure of expert witnesses. Ultimately, the case was resolved through a consent decree,",0.4439,0.4915,0.4665,0.1282,0.142,0.1348,0.2143,0.2373,0.2252
