Case_ID,refrence_summary ,generated_summary,ROUGE-1_Precision,ROUGE-1_Recall,ROUGE-1_F1,ROUGE-2_Precision,ROUGE-2_Recall,ROUGE-2_F1,ROUGE-L_Precision,ROUGE-L_Recall,ROUGE-L_F1
EE-MO-0105,"On January 23, 2004, Plaintiff filed an amended complaint under Title VII of the Civil Rights Act of 1964 and the Pregnancy Discrimination Act, 42 U.S.C. § 2000e et seq. and 2000e(k), against AT&T Corporation in the United States District Court for the Western District of Missouri.  The plaintiff, represented by private counsel, was a former AT&T employee and asked the Court for declaratory and injunctive relief, as well as damages, alleging that AT&T's health insurance policy discriminated against women.  Specifically, the plaintiff contended that the defendant's health insurance plan, which did not provide prescription contraceptives (birth control) before 2002 and only through the mail after 2002, violated female employees' civil rights.

The action originally started in the U.S. District Court for the District of Kansas, but was transferred to Missouri on May 12, 2003.  This is the date on which the docket begins.  Originally, there were two plaintiffs on the case, but one dropped out of the litigation.  Thus, a single plaintiff carried forth the case.

On September 3, 2004, the Court (Judge Sachs) denied the plaintiff's motion for class certification.  In the opinion, the Court barely discussed the requirements for a class-action lawsuit, except to point out typicality.  The plaintiff, since the suit began, had stopped taking birth control and was seeking to get pregnant.  Therefore, the Court declared that a class could not be certified without a class representative who would have an ongoing interest in the prayed-for relief.  The plaintiff wanted to recover her past expenditures on the prescribed contraceptives.  The Women's Law project came onto the case as an amicus.  After a lengthy discovery period, the Court made another ruling.

On June 7, 2006, the Court (Judge Sachs) granted the plaintiff's motion for class certification as to the damages in the complaint.  The class was comprised of female employees of AT&T, who paid for their own prescription contraception from the dates of October 31, 2001 to July 2, 2002.  The Court did not certify the claims for injunctive or declaratory relief because as of 2002, the health insurance provider covered birth control through mail order. While the cost of the plaintiff's potential recovery was relatively small, $68.07, the class action potential in the litigation, given AT&T's size made both parties fight vigorously.  According to the docket, neither side was content with this decision.  The plaintiff wanted the period of time for damages claims to be extended, and the defendant did not approve of the decision at all.  Ultimately, the plaintiffs filed an appeal.  

On June 1, 2007, the United States Court of Appeals for the Eighth Circuit issued a preliminary judgment to the District Court (Judge Sachs).  The Circuit Court advised the District Court to review the findings of another recent case, In Re Union Pacific Railroad Employment Practices Litigation, 479 F.3d 936 (8th Cir. 2007).  This case featured a ruling that was fundamentally at odds with the decision of the District Court on June 7, 2006.

On October 22, 2007, the District Court (Judge Sachs) vacated its previous decision, and ordered a decision in favor of the defendant.  The case was closed the next day on October 23, 2007.

",<pad> a federal judge has ruled that a class action is unlawful because of its sex. a class action is unlawful because it excludes contraception from its benefits. a class action is unlawful because it violates the pre-existing conditions. a class action is unlawful because it violates the pre-existing conditions.</s>,0.046,0.4717,0.0838,0.0147,0.1538,0.0269,0.0312,0.3208,0.057
EE-MI-0138,"In September 2003, the Detroit office of the EEOC brought this Title VII suit against Robert Bosch Corporation in the U.S. District Court for the Western District of Michigan. The complaint alleged that the defendant discriminated against the claimant by failing to provide the claimant with a reasonable accommodation and terminating him because of his religion (Seventh-day Adventist). The claimant intervened in the EEOC's suit in December 2003. The defendant filed a motion for summary judgment in December 2003, and the court granted summary judgment in favor of the defendant in October 2004. The EEOC appealed the case in December 2004, and the Sixth Circuit vacated the judgment and remanded the case in February 2006. The case went to trial in September 2006, and the jury entered a verdict in favor of the defendant in September 2006.

",<pad> a federal judge has ruled that a'reasonable accommodation' is not a reasonable accommodation. a'reasonable accommodation' is a reasonable accommodation. a'reasonable accommodation' is a reasonable accommodation. a'reasonable accommodation' is a reasonable accommodation.</s>,0.05,0.1892,0.0791,0.0144,0.0556,0.0229,0.0429,0.1622,0.0678
EE-FL-0124,"On May 10, 2002, the United States filed a lawsuit under Title VII against the City of Fort Lauderdale in the U.S. District Court for the Southern District of Florida, alleging that City's Public Services Department discriminated against an employee on the basis of his race. Specifically, the United States contended that the defendant failed or refused to promote an employee to the position of Engineering Inspector because he was an African-American, and that the defendant failed or refused to take appropriate action to remedy fully the effects of the discrimination against this employee. Furthermore, the United States alleged that the City of Fort Lauderdale subjected the employee to harassment that adversely affected the terms, conditions, and privileges of his employment because he opposed the discriminatory employment practices, filed an internal complaint of discrimination with the City, and filed a charge of discrimination with the Equal Employment Opportunity Commission. The United States sought injunctive and monetary relief.

The defendant eventually promoted the employee to the position of Engineering Inspector I in September 1998, but did not receive back pay or other relief. The defendant denied the United States' allegations and further denied that it had engaged in any unlawful employment discrimination, harassment, or retaliation in violation of Title VII. 

On January 13, 2003, the plaintiffs and the defendant agreed to enter into a consent decree ordered by the district court (Judge Donald L. Graham). The City of Fort Lauderdale agreed not to engage in any act that unlawfully discriminates against any employee or potential employee because of that individual's race. The City further agreed that it would not retaliate against any person in a manner prohibited by Title VII of the Civil Rights Act of 1964 because that person made an internal complaint of discrimination; filed a charge of discrimination with the EEOC, the Florida Commission on Human Relations, or the Broward County Human Rights Division; participated in or cooperated with the initiation, investigation, litigation or administration of this settlement agreement; or provided information to the Department of Justice. Furthermore, the city of Fort Lauderdale agreed to post anti-discrimination and anti-harassment policies in a prominent and conspicuous location in City Hall and in the Department of Public Services. 

Additionally, the City agreed to arrange mandatory training for all employees. While this settlement agreement remains in effect, the city will maintain all records related to the filling of vacancies for Engineering Inspector I positions for each hiring event, application period, test administration, and phase of any test administration, and the Department of Justice can request to see them in order to monitor the city's compliance.

The docket ends on December 7, 2005 with the district court (Judge Graham) entering and order dismissing the case with prejudice.

","<pad> Defendant will maintain a copy of the training records for the duration of this settlement. if the parties are unable to reach agreement within thirty (30) days, the court will dismiss the action. if the parties are unable to reach agreement within thirty (30) days, the court will not grant the settlement.</s>",0.0649,0.5556,0.1163,0.013,0.1132,0.0233,0.0411,0.3519,0.0736
DR-TX-0003,"On April 25, 2016, three individuals that were blind and enrolled in the Barbri bar exam preparation course filed this putative class action lawsuit in the U.S. District Court for the Northern District of Texas. The plaintiffs brought this suit against BarBri Inc., aka Barbri Bar Review, a company that sells and provides products for bar exam preparation. The plaintiffs alleged that Barbri violated the American with Disabilities Act (ADA) (42 U.S.C. §§ 12111 et seq.) and the Texas Human Resource Code §§ 121.002-.003. The plaintiffs, represented by Texas Civil Rights Project and Washington Lawyers’ Committee for Civil Rights/Urban Affairs, sought injunctive, monetary, and declaratory relief as well as attorneys’ fees and costs. This case was assigned to Magistrate Judge Renee Harris Toliver.

The three plaintiffs were all enrolled in the Barbri bar preparation course and relied on Barbri to prepare for the bar examination. The Barbri bar preparation course provided online bar review resources including online live chat to match Barbri students with tutors, an online planner, study outlines, online lecture notes, and online lecture videos. The website, however, was not compatible with the software that the plaintiffs relied on to access the internet, like Job Access With Speech (“JAWS”) screen readers. The plaintiffs requested reasonable accommodation, but BarBri did not provide them. 

On July 1, 2016, the defendant moved to dismiss the lawsuit for lack of jurisdiction and failure to state a claim. The plaintiff amended their complaint on July 19, 2016. This new complaint added more factual allegations and slightly modified the definition of the sought class. The amended class definition was as follows: “All legally blind individuals nationwide who, on or after April 25, 2014, took, plan to take or attempted to take a Barbri bar review course at a time when Barbri’s website, mobile application, or other course materials was or is not fully accessible to legally blind students, or who have   been discouraged from taking the Barbri bar review course due to such inaccessibility.” 

The defendant again moved to dismiss the lawsuit for lack of jurisdiction and failure to state a claim on October 3, 2016. The plaintiffs moved to certify a class on February 10, 2017. The court never ruled on this motion.

In October 2017, the parties underwent settlement discussions. Eventually the parties reached a confidential Settlement Agreement. Then on January 19, 2018, the parties jointly moved for a stipulation of dismissal and sought approval of a consent decree.

Three days later, the court approved the parties’ consent decree. The parties agreed that the court would retain jurisdiction for three years to ensure compliance with this decree. The consent decree prohibited the defendant from engaging in disability discrimination, required the defendant to comply with the ADA, and required the defendant to undergo an accessibility audit to ensure that all accessibility barriers for screen readers were removed. The defendant also agreed to provide accessibility training to all development team employees and to reform its procedures for implementing reasonable accommodations when students request accommodations.

The consent decree remains in force as of May 2020. 
",<pad> a motion to dismiss a class action filed by a Defendant is pending. a motion to dismiss a class action is pending. a motion to dismiss a class action is pending. a motion to dismiss a class action is pending. a motion to dismiss a class action is pending.</s>,0.0544,0.549,0.0989,0.0078,0.08,0.0142,0.035,0.3529,0.0636
EE-GA-0095,"In March 2001, the EEOC district office in Atlanta, Georgia brought this suit against Wren Chevrolet, Inc., a regional automobile dealership, in the U.S. District Court for the Southern District of Georgia.  The complaint states that two female employees were regularly subjected to sexual harassment and retaliated against when they complained, all in violation of Title VII of the Civil Rights Act of 1964.  The case was quickly disposed of, with a consent decree being entered in June 2001.  

In the consent decree, the parties agreed that the defendant would pay the aggrieved women $75,000 each, refrain from retaliating or discriminating in the basis of sex, post EEO notices, provide EEO training, make semiannual reports to the EEOC, have the alleged harassers read the consent decree, issue neutral reference letters, implement an anti-discrimination policy, and appoint a compliance official.  No fees or costs were awarded.  The terms of the agreement ran for two years.

","<pad> Defendant, a 'protected group', filed a complaint against the EEOC in 1997. the EEOC subsequently retaliated against the Defendant, claiming that the alleged practices were unlawful. a jury will decide whether to award the Defendant's cause of action with prejudice. a'responsible party' may appeal the decision.</s>",0.1656,0.52,0.2512,0.0449,0.1429,0.0683,0.0955,0.3,0.1449
JI-OH-0011,"On November 23, 2014, two African-American teenage males filed a lawsuit in the United States District Court for the Southern District of Ohio under 42 U.S.C. §1983 against the Hamilton County Juvenile Detention Center and Hamilton County, Ohio. The plaintiffs, represented by public interest counsel, sought preliminary and permanent injunctive relief. They requested that the Court enjoin the Juvenile Court from arresting and detaining youth without conducting a probable cause hearing. The plaintiffs claimed that the detention of youth after 48 hours without providing a probable cause hearing violates their right to due process under the Fourteenth Amendment.

The first plaintiff was arrested at school on September 12, 2014, on a charge of aggravated robbery. Based on the victim's description, a warrant was issued, and the plaintiff was taken into custody at the Hamilton County Detention Center. He was in isolation for two days. The Juvenile Court did not make a probable cause determination prior to issuing a warrant for the first plaintiff, nor within 48 hours of detention. The case was continued on October 6, 2014, for a probable cause hearing, which never happened. S.W. had a trial on October 10, 2014, where the case was dismissed on the merits. Although S.W. was released, he never received a probable cause hearing at arrest or during his detention. 

The second plaintiff was arrested outside his home on July 8, 2014, by Cincinnati police officers, who did not present an arrest warrant. He was taken to the local police station, interrogated for alleged involvement in a robbery, and taken to the Hamilton County Detention Center on July 9, 2014. He remained incarcerated at the Detention Center from July 8 to July 23, during which time no probable cause determinations in his case occurred. 

On December 10, 2014, the plaintiffs filed a motion for a preliminary injunction. Although a preliminary injunction hearing was scheduled for March 24, 2015, the parties began settlement negotiations in February 2015 and the hearing was changed to a status conference on settlement progress.

On September 29, 2015, the parties reached an agreement and Judge Susan Dlott approved and adopted an agreed order of dismissal without prejudice. The Hamilton County Juvenile Court agreed to plan, design, and implement a best practice model for processing complaints, issuing arrest warrants, making probable cause determinations, and conducting detention hearings. This included revisions to Rule 38 of the Rules of Practice for Hamilton County Juvenile Court. Additionally, the juvenile court agreed create a new training curriculum to assist clerks in making probable cause determinations. The Hamilton County Prosecuting Attorney also agreed to assign an assistant prosecuting attorney to attend detention hearings at the Youth Center.
The case is presumably closed.",<pad> a teleconference is scheduled for 3/24/15 at 9:30 a.m. (epa) a settlement conference is scheduled for 3/27/15 at 2:00 p.m. (epa) a teleconference is scheduled for 3/25/15 at 2:00 p.m. (epa) a settlement conference is scheduled for 3/25/15 at 1:30 p.m. (epa) a teleconference is scheduled for 3/25/15 at 2:00</s>,0.0529,0.338,0.0914,0.0022,0.0143,0.0038,0.033,0.2113,0.0571
PB-DC-0011,"On April 13, 2018, the Arab American Institute (“AAI”) sued the Office of Management and Budget (“OMB”) under the Freedom of Information Act (“FOIA”), 5 U.S.C. § 552, in the U.S. District Court for the District of Columbia. AAI alleged that OMB violated FOIA by failing to disclose requested records pertaining to OMB’s decision not to include a combined race and ethnicity question or a Middle Eastern or North African (MENA) category on the 2020 Census. AAI asked the court to declare that OMB violated FOIA and to issue an injunction ordering the agency to release the requested records. This case was assigned to Judge Amy Berman Jackson. 

One month later, on May 18, 2018, the court ordered OMB to file a dispositive motion or a status report setting a schedule for OMB’s production of documents to AAI. OMB chose the latter, filing its first status report on June 15, 2018. Over the next two years, the parties filed several joint status reports detailing which documents OMB had disclosed to AAI and which documents were still outstanding or disputed. By May 13, 2020, OMB had reviewed approximately 2,000 potentially responsive documents, producing “a number” of them to AAI and withholding 161 of them, claiming they were FOIA exempt. AAI objected to the withholding of five of the allegedly exempt documents.

OMB filed a motion for summary judgment on February 10, 2020, arguing that the five disputed documents were exempt under FOIA Exemption 5, which allows agencies to withhold “inter-agency or intra-agency memorandums or letters that would not be available by law to a party other than an agency in litigation with the agency,” including “predecisional and deliberative” documents that reflect internal Executive Branch deliberations. AAI filed a cross-motion for summary judgment on March 12, 2020, arguing that OMB had not provided a sufficient basis for exempting the documents and that the exemption didn’t apply because the documents were not “predecisional.” On August 13, 2020, after conducting in camera review, the court granted OMB’s motion for summary judgment and denied AAI’s cross-motion, finding that the disputed documents were predecisional and exempt from FOIA. 2020 WL 4698098. 

As of December 25, 2020, AAI has not appealed the court’s decision. ","<pad> a motion to stay is granted by the court in this case. the court will enter a final, appealable order on the motion. the parties must file another status report by april 1, 2019.</s>",0.0684,0.7222,0.125,0.0185,0.2,0.0338,0.0447,0.4722,0.0817
PC-SD-0001,"On March 7, 1980, inmates of the South Dakota State Penitentiary in Sioux Falls, South Dakota filed a class action in the U.S. District Court for the District of South Dakota under 42 U.S.C. § 1983 against the South Dakota Department of Corrections. The plaintiffs, represented by the National Prison Project of the American Civil Liberties Union and by East River Legal Services, asked the court for class certification and declaratory and injunctive relief, alleging that their constitutional rights had been violated by the conditions of their confinement. Specifically, they complained of fire hazards, unsanitary food, work safety hazards, poor ventilation, inadequate plumbing, inadequate medical care, inadequate dental care, inadequate psychological care, overcrowding, lack of hot water, lack of heat in winter, inadequate law library, lack of recreation and exercise, and inadequate grievance procedures.

On May 31, 1984, the district court (Judge Donald J. Porter) granted declaratory and injunctive relief to the plaintiffs, ordering the defendants stop double-celling inmates and to file a plan to fix the other problems within 120 days. Cody v. Hilliard, 599 F.Supp. 1025 (D.S.D. 1984). The defendants appealed. On October 28, 1986, the U.S. Court of Appeals for the Eighth Circuit (Judge Gerald W. Heaney) affirmed the district court's decision. Cody v. Hilliard, 799 F.2d 447 (8th Cir. 1986).  

The defendants asked the Eighth Circuit for a rehearing en banc, and on October 28, 1986, the Eighth Circuit agreed to rehear the case. Cody v. Hilliard, 804 F.2d 440 (8th Cir. 1986). On October 6, 1987, the en banc Eighth Circuit (Judge Pasco Middleton Bowman II) reversed the district court's order forbidding double-celling, declaring that the practice was not unconstitutional, but affirmed all other orders of the district court. Cody v. Hilliard, 830 F.2d 912 (8th Cir. 1987). The plaintiffs appealed. On February 29, 1988, the U.S. Supreme Court declined to hear the appeal. Cody v. Hilliard, 485 U.S. 906 (1988).

On July 8, 1985, the district court (Judge Porter) issued a consent decree in the case, addressing issues such as prison environmental concerns, fire safety, medical care, psychological care, prisoners' access to courts, and food preparation and sanitation.  In the years that followed, the defendants paid attorneys' fees to the plaintiffs on multiple occasions, never disputing the plaintiffs' entitlement to fees.  

On April 16, 1996, the defendants asked the district court to terminate the consent decree, arguing that they were in substantial compliance. On March 13, 1997, the district court (Judge Richard H. Battey) dissolved the consent decree and vacated all supplemental orders. The plaintiffs appealed. On March 27, 1998, the Eighth Circuit (Judge John R. Gibson) reversed the decision to dissolve the decree and remanded the case back to the district court, holding that the dissolution of the decree was not supported by sufficient findings or an articulation of basis for the decision. Cody v. Hilliard, 139 F.3d 1197 (8th Cir. 1998). 

On February 17, 2000, the district court (Judge Lawrence L. Piersol) approved a private settlement agreement between the parties and dismissed the case without prejudice. Cody v. Hilliard, 88 F.Supp.2d 1049 (D.S.D. 2000). According to Jude Piersol’s opinion, the settlement agreement contained more specific language and guidelines than the 1985 consent decree and established procedures for continued monitoring of prison conditions. The defendants agreed to monthly self-inspections for fire safety and yearly OSHA-type inspections of all shop areas. The settlement agreement provided more relief with regards to the tuberculosis isolation provision, quality control provision, and specific shop provisions.

The plaintiffs asked the district court to award them attorneys' fees.  On November 15, 2000, the district court (Judge Piersol) awarded $106,877.74 in attorneys' fees to the plaintiffs. The defendants appealed. On September 11, 2002, the Eighth Circuit (Judge Gibson) affirmed the fee award. Cody v. Hilliard, 304 F.3d 767 (8th Cir. 2002). The case is now closed.",<pad> a class action is pending against defendants in the case. the case is pending in the district court. the district court has a history of judicial review.</s>,0.0318,0.7241,0.0609,0.0167,0.3929,0.032,0.0272,0.6207,0.0522
EE-LA-0061,"In September 2004, the New Orleans District Office of the EEOC filed this suit against Nelson Tree Services in the U.S. District Court for the Western District of Louisiana, alleging that the defendant violated Title VII of the Civil Rights Act of 1964 by subjecting the charging party, a male employee, to a sexually hostile work environment.  Specifically, the charging party was subjected to sexual harassment by his male supervisor including requests for sexual favors, unwelcome sexual comments, and unwanted touching.  After some discovery disputes, the parties settled through a consent decree in April 2006.  

The terms of the agreement were to run for 2 years. The docket sheet does not show any further enforcement took place; the case was presumably closed in 2008.","<pad> Defendant agrees to pay Timothy Wayne Tims $10,000 as damages. a jury will be allowed to decide whether to award the settlement or release. a jury will not be allowed to decide whether to award the settlement or release. a jury will not be allowed to decide whether to award the settlement or release.</s>",0.096,0.2105,0.1319,0.0,0.0,0.0,0.08,0.1754,0.1099
EE-MI-0149,"In May 2006, the EEOC's Detroit office filed this suit in the U.S. District Court for the Eastern District of Michigan against Shefenacker Vision Systems USA, Inc. alleging violations of the Age Discrimination in Employment Act (ADEA).  The EEOC alleged that the defendant had fired a woman during a reduction-in-force event solely because she was sixty years old.  The parties came to an agreement in the form of a consent decree in November 2006, which was adopted by the court.  The decree ordered the defendant to pay the complainant $28,500 in monetary relief and enjoined the defendant from discriminating or retaliating in the future.  Further, the defendant was ordered to institute an ADEA training program for its supervisors and managers, post a notice of equal employment rights in its place of business and provide the EEOC with reports on each incidence of discrimination based on race and all remedial action taken.

The decree was entered in 2006 and scheduled to last 2007. No further docket entries exist, so the case is closed.","<pad> Defendant, Schefenacker, has been a lirgrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr</s>",0.0169,0.375,0.0324,0.0,0.0,0.0,0.0113,0.25,0.0216
